laser_power	cell_size	recombination
7	2967.508	0
7	843.468	0
7	5525.825	0
7	4096.191	0
7	4379.662	0
7	4861.444	0
7	2822.643	0
7	980.887	0
7	2491.456	0
7	2659.611	0
7	4849.218	0
7	4492.311	0
7	4739.605	0
7	4282.777	0
7	4155.71	0
7	1063.565	0
7	3606.275	0
7	3152.352	0
7	3257.898	0
7	2209.068	0
7	3319.583	0
7	870.06	0
7	3038.118	0
7	3324.072	0
7	3518.395	0
7	2954.173	0
7	3667.379	0
7	3167.668	0
7	2431.276	0
7	617.985	1
7	2168.719	0
7	2723.646	0
7	2134.787	0
7	3862.759	0
7	2898.931	0
7	2275.744	0
7	1034.782	0
7	4498.912	0
7.5	1555.777	0
7.5	2641.577	0
7.5	2568.98	0
7.5	1581.675	0
7.5	2127.864	1
7.5	2828.008	1
7.5	2658.66	1
7.5	2065.278	1
7.5	3004.065	0
7.5	2949.487	1
7.5	2643.423	0
7.5	2330.156	1
7.5	1064.426	1
7.5	2837.681	1
7.5	2200.564	0
7.5	3222.894	0
7.5	1922.504	0
7.5	1679.411	1
7.5	3669.809	0
7.5	5700.185	0
7.5	4329.595	0
7.5	1268.319	0
7.5	3979.607	0
7.5	4686.608	0
7.5	4983.361	0
7.5	1616.195	1
7.5	3849.82	0
7.5	6282.707	0
7.5	2887.629	0
7.5	1139.271	0
7.5	4354.496	0
7.5	1184.241	1
7.5	3221.298	0
7.5	2191.93	0
7.5	3293.414	0
7.5	1175.791	0
7.5	3195.5	0
7.5	3653.12	0
7.5	2912.398	0
7.5	2597.451	0
7.5	4179.713	0
7.5	2876.67	0
7.5	4191.728	0
7.5	1502.595	1
7.5	3398.484	0
7.5	1150.177	1
7.5	3258.848	0
7.5	3178.52	0
7.5	2413.294	0
7.5	1444.66	0
8	1055.065	1
8	2964.1	0
8	3177.781	0
8	3493.258	0
8	4180.609	0
8	3800.284	0
8	3125.882	0
8	3494.688	0
8	2073.417	0
8	1335.908	0
8	3594.118	0
8	3256.28	0
8	2735.442	0
8	2690.954	0
8	3687.411	0
8	2906.351	1
8	3018.755	0
8	1576.605	1
8	3131.238	0
8	3055.522	0
8	2651.301	0
8	2850.759	0
8	3442.321	0
8	1130.636	1
8	1983.083	0
8	2014.163	0
8	2543.714	0
8	3667.274	0
8	2488.868	0
8	2645.986	0
8	938.689	1
8	2194.28	0
8	4227.43	0
8	2291.191	0
8	3878.735	0
8	2909.758	0
8	752.024	1
8	2975.087	0
8	3846.625	0
8	3466.137	0
8	2496.051	0
8	1803.758	0
8	2981.371	0
8	1491.399	1
8	3375.722	0
8	3031.49	0
8	4358.378	0
8	2746.857	0
8	3864.502	0
8	2940.732	0
8.5	1948.635	1
8.5	2463.154	1
8.5	2887.214	0
8.5	4599.884	0
8.5	3568.038	1
8.5	3990.408	0
8.5	4155.362	0
8.5	3197.23	0
8.5	3531.74	0
8.5	889.903	1
8.5	2533.592	0
8.5	2775.563	0
8.5	3046.889	0
8.5	3967.032	0
8.5	2225.656	0
8.5	1200.648	1
8.5	3611.019	0
8.5	941.673	1
8.5	4389.96	0
8.5	3488.82	1
8.5	3681.824	0
8.5	789.124	1
8.5	2322.826	0
8.5	3549.238	0
8.5	2265.63	1
8.5	2528.504	0
8.5	1079.646	1
8.5	2396.024	0
8.5	2840.573	0
8.5	2592.698	0
8.5	852.288	1
8.5	2834.13	0
8.5	2380.154	0
8.5	2450.5	0
8.5	1375.977	1
8.5	3985.205	1
8.5	3829.725	1
8.5	4194.211	0
8.5	3801.021	0
8.5	4035.139	0
9	871.832	1
9	1952.665	0
9	3039.193	0
9	3727.584	0
9	2356.704	0
9	1311.025	1
9	2130.906	1
9	4441.873	1
9	3805.589	0
9	2745.999	1
9	3514.475	0
9	3037.945	0
9	1274.727	1
9	1766.676	0
9	2746.649	0
9	1778.741	0
9	3403.345	0
9	2919.481	1
9	3197.802	0
9	1495.87	0
9	1871.592	0
9	2823.198	0
9	1634.536	1
9	3512.421	0
9	2914.489	0
9	3118.315	0
9	3714.297	0
9	3567.83	1
9	3377.861	0
9	3630.041	0
9	1139.298	1
9	3033.55	0
9	3620.218	0
9	4698.649	0
9	3412.137	0
9	4912.329	0
9	3496.003	0
9	3369.755	0
9	4884.919	0
9	4163.262	0
9.5	823.387	1
9.5	1418.615	1
9.5	1189.386	1
9.5	4450.219	0
9.5	2192.476	0
9.5	1423.83	0
9.5	1671.306	1
9.5	1172.966	0
9.5	638.259	1
9.5	1908.927	0
9.5	1337.121	1
9.5	4842.739	0
9.5	1816.553	0
9.5	1370.354	0
9.5	1495.174	0
9.5	928.752	0
9.5	892.609	1
9.5	1271.653	0
9.5	1451.342	1
9.5	3184.647	0
9.5	3415.833	1
9.5	2636.004	0
9.5	703.198	1
9.5	4670.579	0
9.5	3035.372	1
9.5	2668.721	0
9.5	2285.091	0
9.5	3617.181	0
9.5	3822.411	0
9.5	1286.011	1
9.5	4267.778	0
9.5	3161.885	0
9.5	5213.333	0
9.5	3660.54	0
9.5	3599.991	0
9.5	4660.624	0
9.5	1202.488	1
9.5	4622.757	0
10	1812.647	0
10	2886.485	1
10	2610.765	1
10	2384.161	0
10	2170.142	1
10	2531.096	0
10	1475.069	0
10	2496.878	0
10	5288.406	0
10	4040.929	0
10	6056.18	1
10	3034.59	1
10	3803.093	0
10	1968.5	1
10	3139.871	1
10	5816.966	1
10	6297.474	0
10	3181.005	0
10	7206.385	1
10	4450.609	0
10	3871.113	1
10	2490.453	1
10	824.562	1
10	4078.789	1
10	3113.772	1
10	3489.401	0
10	3461.173	1
10	3586.814	1
10	2919.079	0
10	1051.84	1
10	2552.507	1
10	3838.386	0
10	4037.595	0
10	4406.86	0
10	1308.166	1
10	2850.66	0
10	4078.313	0
10	2649.735	0
10.5	3167.377	1
10.5	3885.627	0
10.5	5554.924	1
10.5	4899.521	0
10.5	4208.945	0
10.5	4224.789	1
10.5	3707.966	1
10.5	2537.218	1
10.5	2405.926	0
10.5	3562.626	0
10.5	2913.349	0
10.5	2477.54	0
10.5	4340.448	0
10.5	2833.496	0
10.5	2619.606	0
10.5	5039.263	1
10.5	3379.683	1
10.5	1921.636	1
10.5	2891.801	1
10.5	3981.851	0
10.5	2746.144	1
10.5	3329.934	0
10.5	2252.876	0
10.5	3278.653	0
10.5	1207.822	1
10.5	4323.126	0
10.5	3494.26	0
10.5	2814.933	0
10.5	2432.465	0
10.5	5012.672	0
10.5	3128.19	0
10.5	4269.97	0
10.5	3604.638	0
10.5	1746.008	1
10.5	3251.983	0
11	1391.526	1
11	2330.676	1
11	2967.376	1
11	2525.688	0
11	2731.885	1
11	3231.491	0
11	3147.731	0
11	3641.422	1
11	4481.458	0
11	3787.501	0
11	2007.72	1
11	2866.029	0
11	2511.446	0
11	4826.112	0
11	3541.712	0
11	4260.701	0
11	3045.803	0
11	4696.51	0
11	4735.908	0
11	3263.707	0
11	4604.088	1
11	5882.996	1
11	4001.075	0
11	5193.053	0
11	1328.129	0
11	4233.424	1
11	1112.707	0
11	3744.459	1
11	4926.588	0
11	1392.956	1
11	4009.631	0
11	2504.052	0
11.5	2110.731	0
11.5	4505.989	0
11.5	2631.647	1
11.5	3137.775	0
11.5	2039.038	0
11.5	2957.553	0
11.5	2936.93	1
11.5	4164.662	1
11.5	3041.314	1
11.5	2154.539	1
11.5	3321.563	0
11.5	4326.664	1
11.5	3782.511	0
11.5	2477.223	0
11.5	4449.427	0
11.5	1172.306	1
11.5	2916.835	0
11.5	4896.406	0
11.5	4071.157	0
11.5	4595.823	0
11.5	2978.52	0
11.5	1951.052	1
11.5	3864.977	0
11.5	2487.284	0
11.5	2460.297	1
11.5	2905.955	0
11.5	3661.015	1
11.5	3877.335	0
11.5	3042.211	1
12	2305.949	1
12	2669.684	1
12	1654.869	1
12	1530.374	1
12	4992.815	0
12	3838.941	1
12	5230.392	0
12	4457.639	0
12	3091.459	1
12	3203.738	1
12	4232.711	0
12	4905.515	0
12	3411.397	0
12	3810.369	1
12	4967.227	0
12	3015.884	0
12	3946.52	0
12	3299.778	0
12	623.98	1
12	4720.249	0
12	3180.58	1
12	3581.189	0
12	2764.285	0
12	3175.299	0
12	3095.605	0
12.5	2543.265	0
12.5	3436.879	0
12.5	3568.198	0
12.5	3604.4	0
12.5	2757.394	1
12.5	3050.45	0
12.5	2924.968	0
12.5	4193.973	0
12.5	4352.067	1
12.5	1732.409	0
12.5	2400.988	0
12.5	2918.736	1
12.5	2810.945	1
12.5	3369.755	0
12.5	3159.297	1
12.5	3020.426	0
12.5	3334.317	1
12.5	3046.357	1
12.5	1743.446	0
12.5	3902.949	1
12.5	3764.607	1
12.5	3790.195	0
12.5	4717.45	1
13	1076.049	0
13	3393.776	0
13	3385.572	1
13	2482.425	1
13	5041.138	0
13	3005.956	0
13	2862.622	1
13	1723.853	1
13	5933.643	0
13	4410.372	0
13	4679.135	0
13	3993.391	0
13	2905.137	0
13	3099.196	1
13	2758.608	0
13	2080.918	0
13	2917.6	0
13	3440.814	0
13	3899.702	0
13	3034.976	0
13	1653.163	0
13	2652.825	1
13	2713.506	0
13	1703.652	0
13.5	2797.927	0
13.5	3743.086	0
13.5	3644.828	0
13.5	4007.65	0
13.5	3694.261	0
13.5	2768.141	1
13.5	2977.146	1
13.5	3588.372	1
13.5	4427.853	1
13.5	2856.707	0
13.5	3461.78	0
13.5	3048.76	0
13.5	2317.386	1
13.5	3443.27	0
13.5	4371.291	0
13.5	2471.863	0
13.5	1705.897	0
13.5	3324.705	0
13.5	3401.468	0
13.5	3186.574	0
13.5	2906.774	0
13.5	4947.211	1
13.5	3702.236	1
13.5	3712.349	0
13.5	2986.415	0
13.5	3271.603	0
14	3885.759	1
14	3820.588	1
14	2935.741	1
14	5010.137	1
14	3939.707	1
14	2323.248	0
14	4118.398	0
14	2443.502	0
14	3056.893	0
14	1638.244	1
14	2830.407	0
14	3845.701	0
14	2466.001	0
14	2236.53	0
14	3617.973	0
14	4485.841	0
14	4133.978	0
14	5475.283	1
14	3090.799	0
14	4144.091	0
15	3023.965	0
15	3818.529	0
15	3921.434	0
15	4894.689	0
15	6176.026	0
15	3125.682	0
16	3406.565	0
16	5082.807	0
16	3309.839	0
16	1387.543	0
16	3831.547	0
16	3290.509	0
17	2955.282	0
18	3498.01	0
18	3144.377	0
