Power_mW	Cell.size_um2	target_cell_induction	neighborings_induction	local_cells_induction	cell_death
14	5010.137	1	1	1	0
14	2994.997	NA	NA	NA	1
14	1665.627	NA	NA	NA	1
14	3939.707	1	1	1	0
14	2323.248	0	1	1	0
14	4118.398	0	1	1	0
14	2443.502	0	1	1	0
14	1394.831	NA	NA	NA	1
14	3056.893	0	1	1	0
14	3409.073	NA	NA	NA	1
14	1638.244	1	1	1	0
14	2830.407	0	1	1	0
14	3845.701	0	1	1	0
14	2466.001	0	1	1	0
14	2236.53	0	1	1	0
14	3617.973	0	1	1	0
14	4485.841	0	1	1	0
14	4133.978	0	1	1	0
14	3906.435	NA	NA	NA	1
12	933.778	NA	NA	NA	1
12	3203.738	1	1	1	0
12	4232.711	0	0	0	0
12	4905.515	0	0	0	0
12	3411.397	0	1	1	0
12	937.026	NA	NA	NA	1
12	3810.369	1	0	1	0
12	4967.227	0	1	1	0
12	3015.884	0	1	1	0
12	3946.52	0	1	1	0
12	3299.778	0	1	1	0
12	623.98	1	1	1	0
12	4720.249	0	1	1	0
12	3180.58	1	0	1	0
12	3581.189	0	1	1	0
12	2764.285	0	1	1	0
11.5	2957.553	0	1	1	0
11.5	2936.93	1	1	1	0
11.5	4164.662	1	1	1	0
11.5	3041.314	1	1	1	0
11.5	2154.539	1	1	1	0
11.5	3321.563	0	1	1	0
11.5	4326.664	1	1	1	0
11.5	3782.511	0	1	1	0
11.5	2477.223	0	1	1	0
11.5	4449.427	0	1	1	0
11.5	1172.306	1	1	1	0
11.5	2916.835	0	0	0	0
11.5	4896.406	0	1	1	0
11.5	4071.157	0	1	1	0
11.5	4595.823	0	1	1	0
11.5	2978.52	0	1	1	0
11.5	1951.052	1	1	1	0
11.5	3864.977	0	1	1	0
11.5	2487.284	0	1	1	0
7	2033.017	0	0	0	0
7	2838.989	0	0	0	0
7	765.095	0	0	0	0
7	3213.984	0	0	0	0
7	2983.325	0	0	0	0
7	3929.593	0	0	0	0
7	2967.508	0	0	0	0
7	843.468	0	0	0	0
7	5525.825	0	0	0	0
7	4096.191	0	0	0	0
7	4379.662	0	0	0	0
7	4861.444	0	0	0	0
7	2822.643	0	0	0	0
7	980.887	0	0	0	0
7	2491.456	0	0	0	0
7	2659.611	0	0	0	0
7	4849.218	0	0	0	0
7	4492.311	0	0	0	0
7	4739.605	0	0	0	0
7	4282.777	0	0	0	0
7	4155.71	0	0	0	0
7	1063.565	0	0	0	0
7	3606.275	0	0	0	0
7	3152.352	0	0	0	0
7	3257.898	0	0	0	0
7	2209.068	0	0	0	0
7	3319.583	0	0	0	0
7	870.06	0	0	0	0
7	3038.118	0	0	0	0
7	3324.072	0	0	0	0
7	3518.395	0	0	0	0
7	2954.173	0	0	0	0
7	3667.379	0	0	0	0
6	690.814	0	0	0	0
6	3422.092	0	0	0	0
6	491.5	0	0	0	0
6	3074.189	0	0	0	0
6	3035.108	0	0	0	0
6	2538.618	0	0	0	0
6	3549.396	0	0	0	0
6	4352.358	0	0	0	0
6	1788.073	0	0	0	0
7.5	1679.411	1	0	1	0
7.5	3669.809	0	0	0	0
7.5	5700.185	0	0	0	0
7.5	4329.595	0	0	0	0
7.5	1268.319	0	0	0	0
7.5	3979.607	0	0	0	0
7.5	4686.608	0	0	0	0
7.5	4983.361	0	0	0	0
7.5	1616.195	1	0	1	0
7.5	3849.82	0	0	0	0
7.5	6282.707	0	0	0	0
7.5	2887.629	0	0	0	0
7.5	1139.271	0	0	0	0
7.5	4354.496	0	0	0	0
7.5	1184.241	1	0	1	0
7.5	3221.298	0	0	0	0
7.5	2191.93	0	0	0	0
7.5	3293.414	0	0	0	0
7.5	1175.791	0	0	0	0
7.5	3195.5	0	0	0	0
7.5	3653.12	0	0	0	0
7.5	2912.398	0	0	0	0
7.5	2597.451	0	0	0	0
8	1130.636	1	0	1	0
8	1983.083	0	0	0	0
